ID,UTC_Date,UTC_Time,Long,Lat,Depth
1,28/11/2008,0:00:00,110.9364174,-25.7884003,103
2,28/11/2008,0:00:10,110.9364311,-25.7884328,108
3,28/11/2008,0:00:20,110.9364311,-25.7884669,114
4,28/11/2008,0:00:30,110.9364653,-25.788484,119
5,28/11/2008,0:00:40,110.9364516,-25.7884994,125
6,28/11/2008,0:00:50,110.9364653,-25.7885164,131
7,28/11/2008,0:01:00,110.9364857,-25.7885335,136
8,28/11/2008,0:01:10,110.9364857,-25.7885506,142
9,28/11/2008,0:01:20,110.9364857,-25.788566,147
10,28/11/2008,0:01:30,110.9364653,-25.788566,153
3723,2/12/2008,11:33:40,112.7628032,-21.911783,40
3724,2/12/2008,11:33:50,112.7628852,-21.911766,42
3725,2/12/2008,11:34:00,112.7627144,-21.9115508,52
3726,2/12/2008,11:34:10,112.762769,-21.9115508,58
3727,2/12/2008,11:34:20,112.7627827,-21.9115662,63
3728,2/12/2008,11:34:30,112.762769,-21.9116174,67
3729,2/12/2008,11:34:40,112.7627827,-21.9116498,73
3730,2/12/2008,11:34:50,112.7628032,-21.9116669,78
3731,2/12/2008,11:35:00,112.7628032,-21.9116994,83
3732,2/12/2008,11:35:10,112.7627827,-21.9117164,89
5683,3/12/2008,0:00:00,112.7468479,-21.8603671,2839
5684,3/12/2008,0:00:10,112.7468137,-21.8603671,2834
5685,3/12/2008,0:00:20,112.7469025,-21.8603329,2830
5686,3/12/2008,0:00:30,112.7468479,-21.8603995,2826
5687,3/12/2008,0:00:40,112.7468684,-21.8603671,2819
5688,3/12/2008,0:00:50,112.7469367,-21.8603995,2815
5689,3/12/2008,0:01:00,112.7467864,-21.8603841,2805
5690,3/12/2008,0:01:10,112.7468684,-21.8603995,2798
5691,3/12/2008,0:01:20,112.7469367,-21.8605498,2791
5692,3/12/2008,0:01:30,112.7469367,-21.8605498,2782
7132,4/12/2008,4:04:20,112.689768,-21.8145331,80
7133,4/12/2008,4:04:30,112.689768,-21.8145331,80
7134,4/12/2008,4:04:40,112.6898158,-21.8145502,89
7135,4/12/2008,4:04:50,112.6898363,-21.8145826,91
7136,4/12/2008,4:05:00,112.6898499,-21.8146168,93
7137,4/12/2008,4:05:10,112.6898978,-21.8146338,93
7138,4/12/2008,4:05:20,112.6898978,-21.8146338,93
7139,4/12/2008,4:05:30,112.6899524,-21.8146663,102
7140,4/12/2008,4:05:40,112.6899661,-21.8147004,106
7141,4/12/2008,4:05:50,112.6900002,-21.8147175,111
8893,5/12/2008,0:00:00,112.4444003,-22.1713507,4320
8894,5/12/2008,0:00:10,112.4444003,-22.1713507,4320
8895,5/12/2008,0:00:20,112.4444139,-22.1713507,4322
8896,5/12/2008,0:00:30,112.4444139,-22.1713507,4322
8897,5/12/2008,0:00:40,112.4443866,-22.1713507,4325
8898,5/12/2008,0:00:50,112.4442842,-22.1714327,4329
8899,5/12/2008,0:01:00,112.4442978,-22.1713831,4330
8900,5/12/2008,0:01:10,112.4442978,-22.1713831,4330
8901,5/12/2008,0:01:20,112.4444003,-22.1713831,4333
8902,5/12/2008,0:01:30,112.4443525,-22.1715659,4336
