UTC_Date,UTC_Time,Lat,Long,Cherry1,Cherry2,Cherry3,Cherry4,Cherry5,Cherry6
3/12/2008,18:51:21 ,-21.86778,112.68757,rock,rock,r_low,fish,,
3/12/2008,18:52:33 ,-21.86775,112.68777,rock,rock,r_wall,unkn,,
3/12/2008,18:54:11 ,-21.86774,112.68789,rock,rock,r_wall,unkn,,
3/12/2008,18:54:53 ,-21.86773,112.68787,rock,rock,r_wall,,,
3/12/2008,18:55:40 ,-21.86768,112.68784,mud,mud,r_flat,leb_trks,,
3/12/2008,18:56:25 ,-21.86768,112.68776,mud,mud,r_flat,brtl_sed,,
3/12/2008,18:57:21 ,-21.86760,112.68766,mud,mud,r_flat,,,
3/12/2008,18:58:07 ,-21.86753,112.68755,mud,mud,r_flat,,,
3/12/2008,18:59:02 ,-21.86740,112.68743,mud,mud,r_flat,,,
3/12/2008,19:00:03 ,-21.86727,112.68726,mud,mud,r_flat,unkn,,
3/12/2008,19:00:48 ,-21.86718,112.68711,mud,mud,r_flat,brtl_sed,,
3/12/2008,19:01:34 ,-21.86709,112.68698,mud,mud,r_flat,,,
3/12/2008,19:02:32 ,-21.86697,112.68678,mud,mud,r_flat,,,
3/12/2008,19:03:32 ,-21.86687,112.68659,mud,rock,r_wall,,,
3/12/2008,19:04:12 ,-21.86697,112.68648,rock,rock,r_wall,,,
3/12/2008,19:04:40 ,-21.86674,112.68639,rock,rock,r_slope,,,
3/12/2008,19:05:53 ,-21.86662,112.68633,rock,rock,r_mod,,,
3/12/2008,19:06:38 ,-21.86658,112.68636,rock,rock,r_flat,whip,,
3/12/2008,19:07:21 ,-21.86655,112.68639,mud,mud,r_flat,whip,,
3/12/2008,19:08:13 ,-21.86651,112.68642,mud,mud,r_flat,whip,,
3/12/2008,19:08:53 ,-21.86650,112.68641,mud,mud,r_flat,whip,,
3/12/2008,19:09:52 ,-21.86648,112.68639,mud,mud,r_flat,whip,unkn_ses,
3/12/2008,19:10:46 ,-21.86646,112.68636,mud,mud,r_flat,crustcn,whip,
3/12/2008,19:11:19 ,-21.86646,112.68636,rock,rock,r_wall,,,
3/12/2008,19:11:43 ,-21.86646,112.68636,undefined,,,,,
3/12/2008,19:13:13 ,-21.86647,112.68639,undefined,,,,,
3/12/2008,19:13:20 ,-21.86647,112.68639,undefined,,,,,
3/12/2008,19:13:49 ,-21.86648,112.68642,undefined,,,,,
3/12/2008,19:14:47 ,-21.86654,112.68651,undefined,,,,,
3/12/2008,19:15:35 ,-21.86659,112.68661,undefined,,,,,
3/12/2008,19:15:48 ,-21.86661,112.68664,undefined,,,,,
3/12/2008,19:16:24 ,-21.86667,112.68675,undefined,,,,,
3/12/2008,19:17:12 ,-21.86669,112.68685,undefined,,,,,
3/12/2008,19:17:18 ,-21.86671,112.68685,rock,rock,r_mod,,,
3/12/2008,19:17:35 ,-21.86669,112.68685,rock,rock,r_mod,,,
3/12/2008,19:18:09 ,-21.86670,112.68691,rock,rock,r_mod,unkn_ses,unkn,
3/12/2008,19:18:58 ,-21.86672,112.68703,undefined,,,,,
3/12/2008,19:19:45 ,-21.86671,112.68708,rock,rock,r_wall,,,
3/12/2008,19:20:11 ,-21.86670,112.68717,rock,rock,r_wall,unkn,undefined,
3/12/2008,19:20:50 ,-21.86666,112.68737,undefined,,,,,
3/12/2008,19:21:36 ,-21.86650,112.68766,undefined,,,,,
3/12/2008,19:22:20 ,-21.86628,112.68787,rock,rock,r_wall,,,
3/12/2008,19:23:00 ,-21.86619,112.68784,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:23:57 ,-21.86605,112.68781,undefined,,,,,
3/12/2008,19:24:44 ,-21.86584,112.68784,undefined,,,,,
3/12/2008,19:25:27 ,-21.86562,112.68786,undefined,,,,,
3/12/2008,19:26:14 ,-21.86553,112.68774,mud,mud,r_flat,whip,tulip,
3/12/2008,19:26:21 ,-21.86552,112.68773,mud,mud,r_flat,whip,,
3/12/2008,19:27:01 ,-21.86544,112.68764,mud,mud,r_slope,whip,unkn_ses,
3/12/2008,19:28:01 ,-21.86527,112.68753,mud,rock,r_slope,unkn,,
3/12/2008,19:28:33 ,-21.86517,112.68747,mud,rock,r_slope,unkn,,
3/12/2008,19:29:08 ,-21.86505,112.68740,mud,rock,r_low,,,
3/12/2008,19:30:00 ,-21.86486,112.68734,rock,rock,r_slope,unkn_ses,,
3/12/2008,19:30:17 ,-21.86480,112.68732,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:30:33 ,-21.86474,112.68730,undefined,,,,,
3/12/2008,19:31:01 ,-21.86463,112.68727,undefined,,,,,
3/12/2008,19:31:55 ,-21.86442,112.68724,mud,mud,r_low,unkn,fish,
3/12/2008,19:32:16 ,-21.86435,112.68723,mud,mud,r_flat,whip,tulip,
3/12/2008,19:32:48 ,-21.86422,112.68723,mud,rock,r_high,whip,tulip,
3/12/2008,19:33:19 ,-21.86411,112.68723,rock,rock,r_high,unkn,unkn_ses,
3/12/2008,19:33:50 ,-21.86399,112.68723,rock,rock,r_slope,unkn,,
3/12/2008,19:34:35 ,-21.86383,112.68721,undefined,,,,,
3/12/2008,19:35:04 ,-21.86372,112.68721,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:36:05 ,-21.86350,112.68717,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:36:17 ,-21.86346,112.68717,undefined,,,,,
3/12/2008,19:36:48 ,-21.86336,112.68719,mud,mud,r_slope,fish,,
3/12/2008,19:38:01 ,-21.86312,112.68721,mud,mud,r_flat,unkn_ses,leb_trks,
3/12/2008,19:38:43 ,-21.86298,112.68721,mud,mud,r_slope,crustcn,whip,
3/12/2008,19:39:29 ,-21.86282,112.68721,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:40:50 ,-21.86255,112.68721,undefined,,,,,
3/12/2008,19:40:52 ,-21.86255,112.68721,undefined,,,,,
3/12/2008,19:41:48 ,-21.86238,112.68721,mud,mud,r_slope,tulip,unkn,
3/12/2008,19:42:24 ,-21.86228,112.68721,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:42:54 ,-21.86220,112.68723,rock,rock,r_wall,,,
3/12/2008,19:43:33 ,-21.86210,112.68723,mud,mud,r_slope,,,
3/12/2008,19:45:46 ,-21.86182,112.68727,rock,rock,r_wall,unkn,,
3/12/2008,19:46:10 ,-21.86177,112.68730,rock,rock,r_wall,unkn_ses,unkn,
3/12/2008,19:46:42 ,-21.86169,112.68734,undefined,,,,,
3/12/2008,19:47:31 ,-21.86153,112.68742,rock,rock,r_wall,unkn,,
3/12/2008,19:48:22 ,-21.86135,112.68752,undefined,,,,,
3/12/2008,19:49:40 ,-21.86112,112.68763,undefined,,,,,
3/12/2008,19:49:52 ,-21.86109,112.68766, mud,rock,unkn_mot,,,
3/12/2008,19:50:43 ,-21.86102,112.68770,rock,mud,r_slope,unkn_ses,,
3/12/2008,19:51:24 ,-21.86097,112.68771,rock,rock,undefined,,,
3/12/2008,19:51:37 ,-21.86096,112.68771,rock,mud,r_high,unkn,,
3/12/2008,19:52:21 ,-21.86092,112.68771,rock,rock,r_high,unkn_ses,brtl_sed,
3/12/2008,19:53:03 ,-21.86088,112.68771,rock,rock,r_wall,,,
3/12/2008,19:53:35 ,-21.86085,112.68771,rock,rock,r_wall,unkn_ses,,
3/12/2008,19:54:32 ,-21.86081,112.68773,rock,rock,r_slope,unkn_ses,,
3/12/2008,19:55:14 ,-21.86076,112.68773,mud,mud,r_slope,tulip,,
3/12/2008,19:56:04 ,-21.86073,112.68771,mud,rock,r_slope,unkn_ses,leb_trks,
3/12/2008,19:56:31 ,-21.86073,112.68771,mud,mud,r_slope,,,
3/12/2008,19:57:37 ,-21.86071,112.68768,mud,rock,r_high,,,
3/12/2008,19:58:15 ,-21.86068,112.68770,rock,rock,r_high,unkn_ses,unkn_ses,
3/12/2008,19:59:01 ,-21.86066,112.68773,mud,rock,r_slope,unkn_ses,,
