UTC_Date,UTC_Time,Lat,Long,Cherry1,Cherry2,Cherry3,Cherry4,Cherry5,Cherry6,Cherry7
4/12/2008,05:11:32 ,-21.81308,112.69043,rock,rock,r_wall,urchin,,,
4/12/2008,05:12:18 ,-21.81309,112.69044,rock,rock,r_wall,,,,
4/12/2008,05:13:01 ,-21.81314,112.69050,rock,rock,r_high,trk_spag,,,
4/12/2008,05:14:02 ,-21.81328,112.69056,rock,mud,r_mod,,,,
4/12/2008,05:14:45 ,-21.81338,112.69061,rock,rock,r_high,,,,
4/12/2008,05:15:25 ,-21.81348,112.69066,rock,rock,r_high,leb_trks,,,
4/12/2008,05:16:03 ,-21.81356,112.69069,rock,rock,r_high,,,,
4/12/2008,05:16:32 ,-21.81362,112.69070,rock,rock,r_wall,,,,
4/12/2008,05:17:02 ,-21.81366,112.69074,rock,rock,r_wall,,,,
4/12/2008,05:17:34 ,-21.81372,112.69076,rock,rock,r_wall,unkn,cucumbr_a,,
4/12/2008,05:18:03 ,-21.81376,112.69079,rock,rock,r_wall,,,,
4/12/2008,05:18:30 ,-21.81381,112.69080,rock,rock,r_wall,,,,
4/12/2008,05:19:02 ,-21.81387,112.69082,rock,rock,r_wall,,,,
4/12/2008,05:19:33 ,-21.81392,112.69085,rock,rock,r_wall,leb_bur,,,
4/12/2008,05:20:18 ,-21.81400,112.69089,rock,rock,r_wall,,,,
4/12/2008,05:20:48 ,-21.81406,112.69089,rock,rock,r_wall,,,,
4/12/2008,05:21:17 ,-21.81410,112.69089,rock,rock,r_wall,unkn,,,
4/12/2008,05:22:00 ,-21.81416,112.69092,rock,mud,r_high,whip,tulip,,
4/12/2008,05:22:43 ,-21.81423,112.69090,rock,mud,r_high,tulip,,,
4/12/2008,05:23:28 ,-21.81429,112.69090,unkn,,,,,,
4/12/2008,05:24:01 ,-21.81433,112.69089,mud,mud,r_high,tulip,,,
4/12/2008,05:24:44 ,-21.81437,112.69089,rock,rock,r_wall,,,,
4/12/2008,05:25:18 ,-21.81440,112.69089,rock,rock,r_wall,,,,
4/12/2008,05:25:45 ,-21.81442,112.69089,rock,mud,r_high,,,,
4/12/2008,05:26:18 ,-21.81446,112.69089,rock,rock,r_wall,,,,
4/12/2008,05:26:46 ,-21.81450,112.69090,rock,rock,r_wall,,,,
4/12/2008,05:27:13 ,-21.81455,112.69090,rock,rock,r_wall,jellyfish,,,
4/12/2008,05:27:48 ,-21.81460,112.69092,rock,mud,r_high,unkn,fish,,
4/12/2008,05:28:16 ,-21.81464,112.69093,rock,mud,r_high,unkn,,,
4/12/2008,05:28:45 ,-21.81468,112.69093,rock,mud,r_mod,,,,
4/12/2008,05:29:17 ,-21.81472,112.69093,mud,mud,r_mod,,,,
4/12/2008,05:29:47 ,-21.81475,112.69093,rock,mud,r_mod,,,,
4/12/2008,05:30:18 ,-21.81479,112.69093,rock,mud,r_high,,,,
4/12/2008,05:30:43 ,-21.81481,112.69093,rock,rock,r_high,,,,
4/12/2008,05:31:18 ,-21.81485,112.69093,rock,mud,r_high,,,,
4/12/2008,05:31:46 ,-21.81489,112.69093,rock,mud,r_high,crustcn,,,
4/12/2008,05:32:16 ,-21.81492,112.69093,rock,rock,r_high,,,,
4/12/2008,05:33:00 ,-21.81496,112.69093,rock,rock,r_high,,,,
4/12/2008,05:33:32 ,-21.81500,112.69092,rock,rock,r_wall,,,,
4/12/2008,05:34:01 ,-21.81503,112.69092,rock,rock,r_wall,,,,
4/12/2008,05:34:33 ,-21.81507,112.69092,rock,rock,r_wall,,,,
4/12/2008,05:35:02 ,-21.81512,112.69090,rock,rock,r_wall,,,,
4/12/2008,05:35:29 ,-21.81516,112.69090,rock,rock,r_wall,,,,
4/12/2008,05:36:01 ,-21.81519,112.69092,rock,rock,r_wall,,,,
4/12/2008,05:36:32 ,-21.81522,112.69092,rock,rock,r_wall,,,,
4/12/2008,05:37:02 ,-21.81525,112.69092,rock,rock,r_wall,,,,
4/12/2008,05:37:32 ,-21.81528,112.69092,rock,mud,r_high,,,,
4/12/2008,05:38:03 ,-21.81531,112.69092,rock,mud,r_mod,,,,
4/12/2008,05:38:31 ,-21.81532,112.69093,mud,rock,r_mod,tulip,leb_bur,,
4/12/2008,05:39:03 ,-21.81534,112.69095,mud,rock,r_mod,,,,
4/12/2008,05:39:31 ,-21.81536,112.69095,mud,mud,r_low,,,,
4/12/2008,05:40:02 ,-21.81538,112.69096,mud,mud,r_slope,,,,
4/12/2008,05:40:30 ,-21.81540,112.69096,mud,mud,r_slope,missed,missed,whip,urchin
4/12/2008,05:41:32 ,-21.81546,112.69099,mud,rock,r_slope,leb_bur,,,
4/12/2008,05:42:03 ,-21.81550,112.69099,mud,rock,r_mod,,,,
4/12/2008,05:42:31 ,-21.81554,112.69100,rock,rock,r_high,,,,
4/12/2008,05:43:02 ,-21.81558,112.69100,rock,rock,r_high,,,,
4/12/2008,05:43:31 ,-21.81562,112.69102,rock,rock,r_high,,,,
4/12/2008,05:44:03 ,-21.81566,112.69102,rock,mud,r_mod,,,,
4/12/2008,05:44:32 ,-21.81570,112.69102,mud,mud,r_slope,,,,
4/12/2008,05:45:03 ,-21.81573,112.69102,mud,mud,r_slope,whip,,,
4/12/2008,05:45:33 ,-21.81577,112.69102,mud,mud,r_slope,unkn,,,
4/12/2008,05:46:04 ,-21.81582,112.69102,mud,rock,r_mod,,,,
4/12/2008,05:46:33 ,-21.81586,112.69102,rock,mud,r_low,leb_trks,,,
4/12/2008,05:47:01 ,-21.81590,112.69102,mud,mud,r_slope,missed,,,
4/12/2008,05:47:35 ,-21.81594,112.69102,mud,mud,r_slope,shrimp,,,
4/12/2008,05:48:11 ,-21.81599,112.69102,mud,mud,r_slope,whip,,,
4/12/2008,05:48:35 ,-21.81603,112.69102,mud,mud,r_slope,leb_bur,unkn,,
4/12/2008,05:49:17 ,-21.81608,112.69103,rock,mud,r_high,,,,
4/12/2008,05:49:46 ,-21.81612,112.69103,rock,mud,r_mod,whip,leb_bur,cucumbr_a,
4/12/2008,05:50:17 ,-21.81617,112.69103,mud,rock,r_mod,,,,
4/12/2008,05:50:46 ,-21.81620,112.69103,rock,rock,r_high,,,,
4/12/2008,05:51:18 ,-21.81625,112.69103,mud,rock,r_mod,,,,
4/12/2008,05:51:48 ,-21.81629,112.69103,rock,rock,r_high,anem_a,,,
4/12/2008,05:52:19 ,-21.81633,112.69102,mud,mud,r_slope,whip,,,
4/12/2008,05:52:47 ,-21.81638,112.69102,mud,mud,r_slope,leb_trks,leb_bur,,
4/12/2008,05:53:16 ,-21.81642,112.69100,mud,mud,r_slope,,,,
4/12/2008,05:53:46 ,-21.81646,112.69102,mud,rock,r_slope,whip,,,
4/12/2008,05:54:15 ,-21.81650,112.69100,mud,mud,r_slope,urchin,,,
4/12/2008,05:54:47 ,-21.81653,112.69102,rock,mud,r_slope,,,,
4/12/2008,05:55:17 ,-21.81656,112.69102,mud,rock,r_slope,,,,
4/12/2008,05:56:02 ,-21.81661,112.69102,mud,rock,r_slope,,,,
4/12/2008,05:56:31 ,-21.81664,112.69103,mud,rock,r_slope,,,,
4/12/2008,05:57:00 ,-21.81667,112.69103,mud,rock,r_slope,,,,
4/12/2008,05:57:32 ,-21.81671,112.69103,mud,mud,r_slope,unkn,,,
4/12/2008,05:58:02 ,-21.81675,112.69105,mud,mud,r_slope,unkn,,,
4/12/2008,05:58:45 ,-21.81679,112.69105,!grab attempt,,,,,,
4/12/2008,06:01:57 ,-21.81662,112.69099,!grab succesful,,,,,,
4/12/2008,06:02:08 ,-21.81660,112.69096,! eol,,,,,,
