UTC_Date,UTC_Time,Lat,Long,Cherry1,Cherry2,Cherry3,Cherry4,Cherry5,Cherry6
2/12/2008,22:25:29 ,-21.85998,112.75275,mud,mud,r_flat,,,
2/12/2008,22:26:03 ,-21.86005,112.75272,repeat,,,,,
2/12/2008,22:26:48 ,-21.86013,112.75267,repeat,cucumbr_a,,,,
2/12/2008,22:27:56 ,-21.86023,112.75256,mud,mud,r_flat,brtl_sed,,
2/12/2008,22:28:59 ,-21.86028,112.75244,mud,rock,,,,
2/12/2008,22:29:51 ,-21.86031,112.75234,mud,rock,r_high,unkn,,
2/12/2008,22:30:35 ,-21.86033,112.75224,mud,mud,r_flat,,,
2/12/2008,22:31:17 ,-21.86035,112.75217,mud,rock,r_flat,,,
2/12/2008,22:31:49 ,-21.86037,112.75208,mud,rock,r_high,,,
2/12/2008,22:32:51 ,-21.86040,112.75198,mud,rock,r_high,,,
2/12/2008,22:33:35 ,-21.86040,112.75191,mud,mud,r_flat,whip,,
2/12/2008,22:34:16 ,-21.86042,112.75184,mud,mud,r_flat,unkn_ses,,
2/12/2008,22:34:53 ,-21.86042,112.75175,mud,rock,r_high,shrimp,,
2/12/2008,22:35:50 ,-21.86043,112.75164,mud,mud,r_flat,unkn,,
2/12/2008,22:36:24 ,-21.86042,112.75156,mud,mud,r_flat,whip,fish,
2/12/2008,22:36:56 ,-21.86042,112.75150,mud,mud,r_flat,whip,,
2/12/2008,22:37:35 ,-21.86040,112.75142,mud,mud,r_flat,unkn_ses,whip,
2/12/2008,22:38:20 ,-21.86038,112.75134,mud,rock,r_high,,,
2/12/2008,22:38:49 ,-21.86036,112.75129,rock,rock,r_wall,,,
2/12/2008,22:39:31 ,-21.86035,112.75124,rock,rock,r_high,unkn,,
2/12/2008,22:40:19 ,-21.86032,112.75117,rock,rock,r_high,unkn,,
2/12/2008,22:40:56 ,-21.86032,112.75112,rock,rock,r_high,unkn,,
2/12/2008,22:41:56 ,-21.86030,112.75102,rock,mud,r_mod,unkn,,
2/12/2008,22:42:27 ,-21.86029,112.75096,rock,rock,r_high,unkn,,
2/12/2008,22:42:52 ,-21.86029,112.75093,rock,rock,r_wall,unkn,,
2/12/2008,22:43:19 ,-21.86028,112.75089,!,,,,,
2/12/2008,22:43:37 ,-21.86027,112.75086,!meal,,,,,
2/12/2008,22:58:34 ,-21.86001,112.74944,rock,rock,r_wall,unkn,,
2/12/2008,22:59:41 ,-21.86005,112.74934,rock,rock,r_wall,unkn,,
2/12/2008,22:59:53 ,-21.86006,112.74930,rock,rock,r_wall,whip,,
2/12/2008,23:01:04 ,-21.86013,112.74918,rock,rock,r_wall,unkn,,
2/12/2008,23:02:12 ,-21.86014,112.74914, rock,mud,r_wall,trk_spag,cucumbr_a,
2/12/2008,23:02:26 ,-21.86013,112.74911,mud,mud,r_flat,unkn_ses,whip,
2/12/2008,23:02:42 ,-21.86013,112.74909,mud,mud,r_flat,whip,,
2/12/2008,23:03:23 ,-21.86013,112.74907,mud,mud,r_flat,unkn_ses,,
2/12/2008,23:04:01 ,-21.86011,112.74904,mud,mud,r_flat,,,
2/12/2008,23:04:47 ,-21.86009,112.74901,mud,mud,r_flat,unkn,,
2/12/2008,23:05:51 ,-21.86003,112.74898,mud,mud,r_flat,unkn,,
2/12/2008,23:06:32 ,-21.85998,112.74895,mud,mud,r_flat,unkn,,
2/12/2008,23:07:16 ,-21.85993,112.74892,mud,mud,r_flat,unkn_ses,whip,unkn_ses
2/12/2008,23:08:11 ,-21.85990,112.74886,mud,mud,r_flat,,,
2/12/2008,23:08:52 ,-21.85991,112.74876,mud,mud,r_flat,whip,unkn,
2/12/2008,23:09:41 ,-21.85997,112.74862,mud,mud,r_flat,unkn,,
2/12/2008,23:10:41 ,-21.86003,112.74842,mud,mud,r_flat,,,
2/12/2008,23:11:13 ,-21.86008,112.74831,mud,mud,r_flat,,,
2/12/2008,23:11:49 ,-21.86011,112.74818,mud,mud,r_flat,unkn_ses,,
2/12/2008,23:12:36 ,-21.86015,112.74806,mud,mud,r_flat,,,
2/12/2008,23:14:02 ,-21.86013,112.74787,mud,mud,r_flat,,,
2/12/2008,23:14:10 ,-21.86013,112.74787,mud,mud,r_flat,,,
2/12/2008,23:14:41 ,-21.86010,112.74780,mud,mud,r_flat,,,
2/12/2008,23:15:33 ,-21.86004,112.74773,mud,mud,r_flat,unkn_ses,,
2/12/2008,23:16:18 ,-21.86003,112.74780,mud,mud,r_flat,leb_trks,,
2/12/2008,23:17:23 ,-21.85988,112.74766,mud,rock,r_flat,,,
2/12/2008,23:18:47 ,-21.85980,112.74763,mud,mud,r_flat,leb_trks,unkn_ses,
2/12/2008,23:19:16 ,-21.85977,112.74759,!grab attempt 1success,,,,,
2/12/2008,23:32:49 ,-21.85979,112.74687,! eol,,,,,
